2.4244,2.3804,2.3134,2.2347,2.1401,2.0467,1.9381,1.8403,1.7335,1.6303,1.5315,1.4314,1.3381,1.2443,1.1567,1.0753,1.0000,1.0000,1.0000,1.0000,1.0000,1.0363,1.1173,1.2011,1.2832,1.3745,1.4665,1.5643,1.6591,1.7567,1.8507,1.9496,2.0404,2.1262,2.2047,2.2734,2.3298,2.3718,2.3978,2.3978,2.3804
2.3548,2.3134,2.2423,2.1683,2.0791,1.9909,1.8879,1.7951,1.6933,1.5947,1.4966,1.4038,1.3114,1.2212,1.1347,1.0563,1.0000,1.0000,1.0000,1.0000,1.0000,1.0139,1.0914,1.1732,1.2538,1.3408,1.4283,1.5208,1.6143,1.7065,1.7951,1.8934,1.9730,2.0531,2.1262,2.1973,2.2500,2.2892,2.3053,2.3134,2.2972
2.2734,2.2271,2.1683,2.0924,2.0153,1.9267,1.8301,1.7427,1.6466,1.5532,1.4600,1.3687,1.2782,1.1924,1.1079,1.0330,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0631,1.1426,1.2212,1.3036,1.3890,1.4764,1.5643,1.6549,1.7381,1.8250,1.9043,1.9789,2.0531,2.1058,2.1612,2.1900,2.2121,2.2196,2.2047
2.1755,2.1331,2.0791,2.0153,1.9381,1.8559,1.7661,1.6846,1.5947,1.5069,1.4159,1.3300,1.2443,1.1628,1.0806,1.0061,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0330,1.1079,1.1838,1.2610,1.3436,1.4252,1.5069,1.5908,1.6760,1.7520,1.8250,1.8934,1.9612,2.0153,2.0596,2.0924,2.1058,2.1125,2.0990
2.0726,2.0341,1.9849,1.9211,1.8507,1.7805,1.6977,1.6182,1.5350,1.4503,1.3687,1.2857,1.2055,1.1250,1.0495,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0718,1.1406,1.2144,1.2933,1.3687,1.4503,1.5244,1.5985,1.6718,1.7427,1.8049,1.8612,1.9099,1.9496,1.9789,1.9970,1.9970,1.9849
1.9671,1.9324,1.8825,1.8301,1.7661,1.6977,1.6262,1.5495,1.4731,1.3949,1.3140,1.2373,1.1628,1.0877,1.0139,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0314,1.0968,1.1670,1.2396,1.3140,1.3861,1.4568,1.5244,1.5947,1.6549,1.7109,1.7614,1.8099,1.8455,1.8665,1.8825,1.8825,1.8771
1.8559,1.8250,1.7805,1.7289,1.6718,1.6143,1.5459,1.4797,1.4069,1.3354,1.2610,1.1881,1.1154,1.0462,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0546,1.1212,1.1881,1.2562,1.3219,1.3890,1.4535,1.5173,1.5718,1.6222,1.6718,1.7109,1.7427,1.7614,1.7757,1.7757,1.7661
1.7473,1.7244,1.6846,1.6384,1.5870,1.5315,1.4731,1.4099,1.3408,1.2757,1.2055,1.1386,1.0718,1.0046,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0077,1.0700,1.1308,1.1967,1.2562,1.3166,1.3774,1.4345,1.4831,1.5315,1.5755,1.6103,1.6384,1.6591,1.6718,1.6718,1.6633
1.6466,1.6182,1.5908,1.5459,1.5000,1.4471,1.3919,1.3381,1.2757,1.2122,1.1486,1.0860,1.0234,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0186,1.0753,1.1328,1.1924,1.2467,1.3010,1.3546,1.4009,1.4440,1.4831,1.5138,1.5386,1.5569,1.5643,1.5680,1.5606
1.5459,1.5244,1.4898,1.4535,1.4099,1.3659,1.3140,1.2635,1.2077,1.1486,1.0896,1.0314,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0218,1.0753,1.1289,1.1795,1.2303,1.2782,1.3193,1.3602,1.3949,1.4252,1.4471,1.4633,1.4698,1.4731,1.4633
1.4503,1.4314,1.4038,1.3687,1.3300,1.2882,1.2396,1.1924,1.1406,1.0896,1.0346,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0155,1.0648,1.1117,1.1567,1.1989,1.2373,1.2733,1.3036,1.3327,1.3519,1.3659,1.3745,1.3745,1.3659
